Country,Population,Rate,Net,Density,World_Share
China,1438207241.0,0.39,5540090.0,153,18.47
India,1377233523.0,0.99,13586631.0,464,17.7
United States of America,330610570.0,0.59,1937734.0,36,4.25
Indonesia,272931713.0,1.07,2898047.0,151,3.51
Pakistan,219992900.0,2.0,4327022.0,287,2.83
Brazil,212253150.0,0.72,1509890.0,25,2.73
Nigeria,205052107.0,2.58,5175990.0,226,2.64
Bangladesh,164354176.0,1.01,1643222.0,1265,2.11
Russia,145922010.0,0.04,62206.0,9,1.87
Mexico,128655589.0,1.06,1357224.0,66,1.65
Japan,126552765.0,-0.3,-383840.0,347,1.62
Ethiopia,114357494.0,2.57,2884858.0,115,1.47
Philippines,109280343.0,1.35,1464463.0,368,1.41
Egypt,101930276.0,1.94,1946331.0,103,1.31
Vietnam,97160127.0,0.91,876473.0,314,1.25
Dominican Republic of Congo,88972681.0,3.19,2770836.0,40,1.15
Turkey,84153250.0,1.09,909452.0,110,1.08
Iran,83771587.0,1.3,1079043.0,52,1.08
Germany,83730223.0,0.32,266897.0,240,1.07
Thailand,69764925.0,0.25,174396.0,137,0.9
United Kingdom,67814098.0,0.53,355839.0,281,0.87
France,65244628.0,0.22,143783.0,119,0.84
Italy,60479424.0,-0.15,-88249.0,206,0.78
Tanzania,59368313.0,2.98,1728755.0,67,0.77
South Africa,59154802.0,1.28,750420.0,49,0.76
Myanmar,54335948.0,0.67,364380.0,83,0.7
Kenya,53521116.0,2.28,1197323.0,94,0.69
South Korea,51260395.0,0.09,43877.0,527,0.66
Colombia,50771878.0,1.08,543448.0,46,0.65
Spain,46751175.0,0.04,18002.0,94,0.6
Uganda,45427637.0,3.32,1471413.0,229,0.59
Argentina,45111229.0,0.93,415097.0,17,0.58
Algeria,43685618.0,1.85,797990.0,18,0.56
Sudan,43632213.0,2.42,1036022.0,25,0.56
Ukraine,43785122.0,-0.59,-259876.0,75,0.56
Iraq,40031626.0,2.32,912710.0,93,0.52
Afghanistan,38742911.0,2.33,886592.0,60,0.5
Poland,37854825.0,-0.11,-41157.0,124,0.49
Canada,37674770.0,0.89,331107.0,4,0.48
Morocco,36820713.0,1.2,438791.0,83,0.47
Saudi Arabia,34701377.0,1.59,545343.0,16,0.45
Uzbekistan,33368859.0,1.48,487487.0,79,0.43
Peru,32876986.0,1.42,461401.0,26,0.42
Angola,32644783.0,3.27,1040977.0,26,0.42
Malaysia,32280610.0,1.3,416222.0,99,0.42
Mozambique,31067362.0,2.93,889399.0,40,0.4
Ghana,30936375.0,2.15,655084.0,137,0.4
Yemen,29687214.0,2.28,664042.0,56,0.38
Nepal,29027347.0,1.85,528098.0,203,0.37
Venezuela,28451828.0,-0.28,-79889.0,32,0.36
Madagascar,27539106.0,2.68,721711.0,48,0.36
Cameroon,26405174.0,2.59,669483.0,56,0.34
Côte d'Ivoire,26239250.0,2.57,661730.0,83,0.34
North Korea,25756088.0,0.44,112655.0,214,0.33
Australia,25439164.0,1.18,296686.0,3,0.33
Niger,24014064.0,3.84,895929.0,19,0.31
Taiwan,23808164.0,0.18,42899.0,673,0.31
Sri Lanka,21395196.0,0.42,89516.0,341,0.27
Burkina Faso,20780371.0,2.86,581895.0,76,0.27
Mali,20125282.0,3.02,592802.0,17,0.26
Romania,19262731.0,-0.66,-126866.0,84,0.25
Malawi,19024426.0,2.69,501205.0,203,0.25
Chile,19082804.0,0.87,164163.0,26,0.25
Kazakhstan,18730568.0,1.21,225280.0,7,0.24
Zambia,18273379.0,2.93,522925.0,25,0.24
Guatemala,17846248.0,1.9,334096.0,167,0.23
Ecuador,17587526.0,1.55,269392.0,71,0.23
Syria,17410293.0,2.52,430523.0,95,0.22
Netherlands,17127290.0,0.22,37742.0,508,0.22
Senegal,16649599.0,2.75,447563.0,87,0.21
Cambodia,16671185.0,1.41,232423.0,95,0.21
Chad,16324440.0,3.0,478988.0,13,0.21
Somalia,15798020.0,2.92,450317.0,25,0.2
Zimbabwe,14818157.0,1.48,217456.0,38,0.19
Guinea,13056478.0,2.83,361549.0,53,0.17
Rwanda,12883878.0,2.58,325268.0,525,0.17
Benin,12055347.0,2.73,322049.0,108,0.16
Burundi,11814346.0,3.12,360204.0,463,0.15
Tunisia,11793319.0,1.06,123900.0,76,0.15
Bolivia,11640159.0,1.39,159921.0,11,0.15
Belgium,11579477.0,0.44,50295.0,383,0.15
Haiti,11373955.0,1.24,139451.0,414,0.15
Cuba,11327988.0,-0.06,-6867.0,106,0.15
South Sudan,11166783.0,1.19,131612.0,18,0.14
Dominican Republic,10825682.0,1.01,108952.0,225,0.14
Czech Republic (Czechia),10705012.0,0.18,19772.0,139,0.14
Greece,10433037.0,-0.48,-50401.0,81,0.13
Jordan,10182442.0,1.0,101440.0,115,0.13
Portugal,10202571.0,-0.29,-29478.0,111,0.13
Azerbaijan,10120555.0,0.91,91459.0,123,0.13
Sweden,10086531.0,0.63,62886.0,25,0.13
Honduras,9871892.0,1.63,158490.0,89,0.13
United Arab Emirates,9865845.0,1.23,119873.0,118,0.13
Hungary,9665192.0,-0.25,-24328.0,107,0.12
Tajikistan,9492342.0,2.32,216627.0,68,0.12
Belarus,9449940.0,-0.03,-3088.0,47,0.12
Austria,8996022.0,0.57,51296.0,109,0.12
Papua New Guinea,8911530.0,1.95,170915.0,20,0.11
Serbia,8744288.0,-0.4,-34864.0,100,0.11
Israel,8627444.0,1.6,136158.0,400,0.11
Switzerland,8641786.0,0.74,63257.0,219,0.11
Togo,8237580.0,2.43,196358.0,152,0.11
Sierra Leone,7942879.0,2.1,163768.0,111,0.1
Hong Kong,7484618.0,0.82,60827.0,7140,0.1
Laos,7253719.0,1.48,106105.0,32,0.09
Paraguay,7114524.0,1.25,87902.0,18,0.09
Bulgaria,6958627.0,-0.74,-51674.0,64,0.09
Libya,6852010.0,1.38,93840.0,4,0.09
Lebanon,6831445.0,-0.44,-30268.0,667,0.09
Nicaragua,6608366.0,1.21,79052.0,55,0.08
Kyrgyzstan,6501804.0,1.69,108345.0,34,0.08
El Salvador,6479609.0,0.51,32652.0,313,0.08
Turkmenistan,6012850.0,1.5,89111.0,13,0.08
Singapore,5840996.0,0.79,46005.0,8358,0.08
Denmark,5788108.0,0.35,20326.0,137,0.07
Finland,5539002.0,0.15,8564.0,18,0.07
Congo,5489191.0,2.56,137579.0,16,0.07
Slovakia,5459116.0,0.05,2629.0,114,0.07
Norway,5412632.0,0.79,42384.0,15,0.07
